"Title","Journal","Publication_year","Publication_year.2","statistical.analysis.and.or.simulations","bioinformatic.analysis","additional.comment.on.analysis","analysis_software_names","num.software.calculated","num.software_with_version","num.packages","num.packages_with_version","CodeShared","CodeShared.2","LinktoCode","LocationShared","Repository","FreeSoftware","FreeSoftware.2","DataUsed","DataShared","DataShared.2","ExtraComments","CommentonComments","Screener"
"The Impacts of Above- and Belowground Plant Input on Soil Microbiota: Invasive Spartina alterniflora Versus Native Phragmites australis","ECOSYSTEMS",2018,"2018-2019","yes","no","three-way ANOVA, general linear modeling, NMDS, Similarity percentage analysis (SIMPER)","Statistica and Primer",2,"2","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AB, MP"
"The importance of an underestimated grazer under climate change: how crab density, consumer competition, and physical stress affect salt marsh resilience","OECOLOGIA",2018,"2018-2019","yes","no","ANOVA, Student’s T test, AIC","Not Stated",NA,"NA","NA","NA","no","no","NA","NA","NA","NA","NA","yes","no","no","NA","NA","AB, MP"
"The influence of habitat accessibility on the dietary and morphological specialisation of an aquatic predator","OIKOS",2018,"2018-2019","yes","no","ANOVA, PERMANOVA, Canonical Variate Analysis (CVA), Discriminant Function Analysis (DFA)","R and Primer",2,"2","1","1","no","no","NA","NA","NA","partially","yes","yes","yes","yes","data http://dx.doi.org/10.5061/dryad.vv760","NA","AB, MP"
"The prioritization of natural-historical based ecotourism strategies with multiple-criteria decision analysis in ancient UNESCO city: Iznik-Bursa case","INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY",2019,"2018-2019","yes","no","SWOT and AHP","Expert Choice Software",1,"0","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AB, MP"
"The relevance of vegetation structures and small water bodies for bats foraging above farmland","BASIC AND APPLIED ECOLOGY",2018,"2018-2019","yes","no","GLMMs, Spearman’s rank correlation, AIC, ANOVA, Wald-χ2 test, the Bonferroni correction","R",1,"1","6","6","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, MP"
"Tolerance of subzero winter cold in kudzu (Pueraria montana var. lobata)","OECOLOGIA",2018,"2018-2019","yes","no","generalized linear model","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, AC"
"Total C and N Pools and Fluxes Vary with Time, Soil Temperature, and Moisture Along an Elevation, Precipitation, and Vegetation Gradient in Southern Appalachian Forests","ECOSYSTEMS",2018,"2018-2019","yes","no","analysis of covariance (1-tailed test, 2-tailed test), correlation procedure","SAS",1,"1","2","2","no","no","NA","NA","NA","no","no","yes","no","no","Usese PROC Mixed, and Proc Corr, which seem to be equivalent to packages in R. States that 'All data collected in association with this manuscript will be posted at: http://coweeta.uga.edu/dbpublic/data_catalog.asp' but the link does not work","NA","AB, AC"
"Towards functional biodiversity predictions: a hierarchical modelling framework from primary productivity to biomass of upper trophic levels","LANDSCAPE ECOLOGY",2018,"2018-2019","yes","no","Spearman pairwise correlation, GLM, GAM, GBM, random forest","R",1,"0","4","0","no","no","NA","NA","NA","yes","yes","yes","no","no","also caluclate the Minimum Local Biomass Index","NA","AB, AC"
"Trait patterns across space and time suggest an interplay of facilitation and competition acting on Neotropical hummingbird-pollinated plant communities","OIKOS",2018,"2018-2019","yes","yes","randomization, phylogentic analysis. Mantel test, mixed models","R",1,"0","2","0","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data http://dx.doi.org/10.5061/dryad.qt7nr84> also calculated abundance-weighted mean pairwise distance","NA","AB, AC"
"Understanding plant drought resistance in a Mediterranean coastal sand dune ecosystem: differences between native and exotic invasive species","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","Kruskal–Wallis test, the Spearman correlation","Statistica and R",2,"2","0","NA","no","no","NA","NA","NA","partially","yes","yes","no","no","NA","NA","AB, AC"
"Using resistance distance from circuit theory to model dispersal through habitat corridors","JOURNAL OF PLANT ECOLOGY",2018,"2018-2019","yes","no","GLMM, Vuong tests, GLM, parametic bootstraps","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","no","no","also calculated the unweighted Jaccard similarity index and isolation metrics","NA","AB, AC"
"Using root traits to understand temporal changes in biodiversity effects in grassland mixtures","OIKOS",2019,"2018-2019","yes","no","LME, Spearmans correlation coefficient, Tukey contrasts, REML, Satterthwaite’s approximations, additive partitioning methods of Loreau and Hector, ANOVA","R",1,"1","4","1","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data <http://dx.doi.org/10.5061/dryad.63p7r97 also calcualted trait diversity indeces","NA","AB, AC"
"Vegetation structure mediates a shift in predator avoidance behavior in a range-edge population","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","linear models, generalized linear model, G-Test","R",1,"1","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, AC"
"Watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity","FRESHWATER SCIENCE",2019,"2018-2019","yes","yes","non-metric multidimensional ordination analysis, PERMANOVA, Two-way ANOVA, Pearson’s correlation, post-hoc tests","R",1,"0","1","1","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, AC"
"Weak effects of farming practices corresponding to agricultural greening measures on farmland bird diversity in boreal landscapes","LANDSCAPE ECOLOGY",2019,"2018-2019","yes","no","regression, generalised linear mixed models, linear mixed models,","R",1,"0","4","3","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, AC"
"Which population density affects home ranges of co-occurring rodents?","BASIC AND APPLIED ECOLOGY",2019,"2018-2019","yes","no","Spatial Capture Recaputre models, likelihood ratio test (LRT), GLM, mixed effect models, Pearsons correlation","R",1,"1","1","0","no","no","NA","NA","NA","yes","yes","yes","no","no","NA","NA","AB, AC, AST"
"Temperature (latitude) and nutrient (seabird guano) effects on limno-terrestrial Tardigrada (Testechiniscus spitsbergensis and Pilatobius recamieri) body size","POLAR RESEARCH",2018,"2018-2019","yes","no","ANOVA, Shapiro-Wilk test, Student t-test, simulations, type III sum of squares linear model","SPSS",1,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AB, AC"
"Temperature variability drives within-species variation in germination strategy and establishment characteristics of an alpine herb","OECOLOGIA",2019,"2018-2019","yes","no","Euclidean distance matrix clustering method and a nearest neighbour joining algorithm, canonical variate analysis, residual maximum likelihood (REML) mixed models and least significant differences (LSD) post hoc tests","SPSS and Genstat",2,"1","0","NA","no","no","NA","NA","NA","no","no","yes","no","no","NA","NA","AB, AC"
"Temporal activity patterns of predators and prey across broad geographic scales","BEHAVIORAL ECOLOGY",2019,"2018-2019","yes","no","permutation test, Log-ratio differences from random, Predictive modeling, bootstrapping","R",1,"0","0","NA","no","no","NA","NA","NA","yes","yes","yes","no","no","data were gathered from online databases, but unclear what exact data are used. Also coudniced time correction analysis in R for wich they provide the R package with the version","NA","AB, AC"
"Temporal carry-over effects in sequential plant-soil feedbacks","OIKOS",2018,"2018-2019","yes","no","LMMs, generalized least squares","R",1,"1","3","3","no","no","NA","NA","NA","yes","yes","yes","yes","yes","data at http://dx.doi.org/10.5061/dryad.2s7s5","NA","AB, AC"
"Testing the validity of functional response models using molecular gut content analysis for prey choice in soil predators","OIKOS",2018,"2018-2019","yes","yes","bootstrapping, GLMs, Pearson’s correlation coefficient","R and S-PLUS",2,"2","1","0","no","no","NA","NA","NA","partially","yes","yes","yes","yes","data http://dx.doi.org/10.5061/dryad.31t0k","NA","AB, AC"
"The costs of kleptoparasitism: a study of mixed-species seabird breeding colonies","BEHAVIORAL ECOLOGY",2018,"2018-2019","yes","no","Chi-squared goodness-of-fit tests, t-test, GLMM, log-likelihood ratio tests , ANOVA","R",1,"1","1","0","yes","yes","http://dx.doi.org/10.5061/dryad.9003kb0","repository","Dryad","yes","yes","yes","yes","yes","Analyses reported in this article can be reproduced using the data provided by Gaglio et al. (2018).","NA","AB, AC"
